Nom_station,Capacite_station
Madeleine Vionnet,34
Louis Xavier de Ricard - Ancienne Mairie,34
Jouffroy d'Abbans - Villiers,34
Square René Viviani - Montebello,34
Paul Doumer - La Tour,34
Claude Vellefaux - Sambre et Meuse,34
Traversière - Ledru-Rollin,34
Keller - La Roquette,34
Montreuil - Voltaire,34
Saint-Vincent - Verdun,34
Primo Levi - Frigos,34
Paul Bodin - Clichy,34
Bercy - Villot,34
Sommerard - Saint-Jacques,34
Belliard - Damrémont,34
Chartres - La Charbonnière,34
Molitor - Chardon-Lagache,34
Henri Barbusse - Bourguignons,34
Saint-Mandé - Fabre d'Eglantine,34
Félix Faure - Sadi Carnot,33
Château - Place de Catalogne,33
Sahel - Général Michel Bizot,33
Porte d'Auteuil,33
Charenton - Wattignies,33
Sèvres Rive Gauche,33
Pierre Sarrazin - Saint-Michel,33
Sainte-Elisabeth - Turbigo,33
Jean Mermoz - Champs-Elysées,33
Lisbonne - Monceau,33
Rossini - Laffitte,33
Repos - Cimetière du Père Lachaise,33
Place Jacques Bonsergent,33
Square Léon,33
Madagascar - Meuniers,33
Louis le Grand - Italiens,33
Dantzig - Lefebvre,33
Faustin Hélie - Desbordes-Valmore,33
Porte de Vincennes,33
Saint-Fargeau - Mortier,33
Edith Cavell - Volta,33
Tristan Tzara -  Tchaïkovski,33
Porte de Pantin.,33
Gouthière - Poterne des Peupliers,33
Metz - Marne,33
Porte de Bagnolet,33
Pasteur - Cotentin,33
Octave Gréard - Tour Eiffel,33
Hautpoul - Jean Jaurès,33
Bachaumont - Montmartre,33
Galilée - Kléber,33
Hoche - Tilsitt,33
Gare Montparnasse - Edgar Quinet,33
Bobillot - Tolbiac,33
Alfred de Vigny - Place du Général Brocard,33
Etienne Dolet - Place Maurice Chevalier,33
Boétie - Ponthieu,33
Laffitte - Italiens,33
Gambetta - Michelet,33
Charles de Gaulle - Plateau de Vanves,33
Bessières - Porte de Clichy,33
Grande Truanderie - Saint-Denis,33
Sénat - Condé,33
Parc de Sceaux - Centre-Ville,33
Jardin d'Acclimatation,33
Vistule - Choisy,33
Hôpital Robert Debré,33
Place Fernand Forest,33
Bréguet - Sabin,33
Etienne Jodelle - Saint Ouen,33
Passy - Place du Costa Rica,33
Nationale - Vincent Auriol,33
Exelmans - Michel-Ange,33
Square d'Anvers,33
Toqueville - Cardinet,33
Bir Hakeim,33
Mairie de Clamart,33
Verdier - Jean Jaurès,33
Youri Gagarine - Commune de Paris,33
Championnet - Vauvenargues,33
Assas - Luxembourg,33
Place Marcel Cachin,32
Belleville - Porte des Lilas,32
Victor Hugo - Paul Eluard,32
Pernety - Raymond Losserand,32
Marceau - Président Wilson,32
Gare de l'Est - Faubourg-Saint-Martin,32
Bertie Albrecht - Hoche,32
Gare Saint-Lazare - Stockholm,32
Marché d'Auteuil,32
Mairie du 15ème,32
Clichy - Douai,32
Mairie du 14ème,32
Leibniz - Jean Dollfus,32
Raspail - Manufacture des Oeillets,32
Saint-Denis - Réaumur,32
Quai Voltaire,32
Chancé Milly - Cimetière Communal Sud,32
Colmar - Victor Hugo,32
Les Halles - Saint-Eustache,32
Gare de Nogent-le-Perreux,32
République - Henri Barbusse,32
Place Charles Digeon,32
Jean Monnet - Iles,32
Claude Vellefaux - Hôpital Saint-Louis,32
Pereire - Saussure,32
Cloître Saint-Merri - Renard,32
Pierre Charron - Champs-Elysées,32
Porte de Vanves,32
Calmette,32
Cartier Bresson - Denis Papin,32
Lamartine - Faubourg Montmartre,32
Blaise-Desgoffe - Vaugirard,32
Porte de Saint Cloud - Parc des Princes,32
Redoute - Les Courtilles,32
Marie-Georges Picquart - Pereire,32
Hôtel de Ville de Sèvres,32
Pyrénées - Avron,32
Assas - Rennes,32
Greneta - Sebastopol,32
Charonne - Philippe-Auguste,32
Mairie du 3ème,32
Ledru-Rollin - Charonne,32
Place de Rungis,32
Hélène et François Missoffe - Emile Borel,32
Victor Cresson - Telles de la Poterie,31
Rapp - Place du Général Gouraud,31
Mairie de Neuilly sur Seine,31
Alexander Fleming - Belvédère,31
Gare Routière de Saint Cloud,31
Charenton - Jardiniers,31
Turbigo - Réaumur,31
Lagny - Joffre,31
Vladimir Ilitch Lénine - Andrée Chedid,31
Place Henri Dunant - Gare RER,31
Bellefond - Maubeuge,31
Louis Pasteur - Albert Petit,31
Paradis - Hauteville,31
Place du Maquis du Vercors,31
Waldeck Rochet - Germaine Tillon,31
Saint-Augustin,31
Saint-Germain - Thenard,31
François 1er - Lincoln,31
Brochant - Square des Batignolles,31
Malakoff - Place de la Porte Maillot,31
André Karman - République,31
Volontaire - Lecourbe,31
Arcole - Notre-Dame,31
Crevaux - Bugeaud,31
Courcelles - Place des Ternes,31
Amédée Huon - Fort d'Ivry,31
Estienne d'Orves - Henri Ginoux,31
Jean Jaurès - Reine,31
Louis Blanc - Jemmapes,31
Molière - République,30
Charles Lecocq - Lecourbe,30
Sèvres - Général Leclerc,30
Mairie de Rosny-sous-Bois,30
Gare RER,30
Chabanais - Petits Champs,30
Paris - Emile Zola,30
Hôtel de Ville d'Asnières sur Seine,30
Suresnes - Muette à Neuilly,30
Gare de Robinson,30
Bercy - Traversiére,30
Parc Pierre Lagravère,30
Louis Ganne - Davout,30
Quai Jules Guesde - Saint-Simon,30
Euryale Dehaynin - Loire,30
Saint-Séverin - Saint-Michel,30
Rougemont - Poissonnière,30
Bleue - Trévise,30
Marcel Yol - Jullien,30
Quai de la Gare - Pont de Bercy,30
Bas - Gabriel Péri,30
Jourdan - Monticelli,30
Quai de l'Oise - Aisne,30
Square Claude Bernard,30
Amelot - Saint-Sébastien,30
Docteur Calmette - Martre,30
Charles Gide - Fort de Bicêtre,30
Maurice d'Ocagne - General Maudhuy,30
Place Jean Mermoz,30
Square Edmond Pépin,30
Faubourg Poissonnière - Dunkerque,30
Henri Ravera - Gabriel Péri,30
De Toqueville - Terrasse,30
Gare RER de Gentilly,30
Edouard Poisson - Victor Hugo,30
Square Alban Satragne,30
Place du 8 mai 1945,30
Jacquier - Didot,30
Hôtel de Ville d'Argenteuil,30
Gustave Eiffel - Parc des Impressionnistes,30
Benoît Frachon - République,30
Place du Lieutenant Henri Karcher,30
Adrien Lesesne - Docteur Bauer,30
Mairie du 12ème,30
Lucie Aubrac - Fort,30
Théophile Gautier - François Millet,30
Evariste Galois,30
Jonquoy - Didot,30
Bézout - Général Leclerc,30
Jean Jaurès - Presles,30
Georges Bernanos - Port Royal,30
Landy - Heurtault,30
Flandre - Ourcq,30
8 Mai 1945 - 10 Juillet 1940,30
Gare du Nord - Demarquay,30
Charles Tillon - Cimetière Communal,30
Place de l'Eglise - Pantin,30
Jessaint - Marx Dormoy,30
République - Auguste Perret,30
Place de l'Insurrection d'Août 1944,30
Bichat - Grange aux Belles,30
Edouard Tremblay - Julian Grimau,30
Proudhon - Président Wilson,30
Parc Départemental des Hautes-Bruyères,30
Legendre - Nollet,30
André Theuriet - Blagis,30
Balzac - Champs Elysées,30
Dora Maar - Nadia Guendouz,30
Garibaldi - Gabriel Péri,30
Jules Guesde - Pont du Port à l'Anglais,30
Gaston Roussel - Commune de Paris,30
Damrémont - Ordener,30
Buffon - Jardin des Plantes,30
Jean Marin Naudin - Stalingrad,30
Place de l'Édit de Nantes,30
Richard Wallace - Place du 8 Mai 1945,30
Cité des Sciences et de l'Industrie,30
Place Nelson Mandela,30
Quai du Président Roosevelt - Pont Aval,30
Guy Môquet - Parvis Georges Marchais,30
Hippodrome de Longchamp,30
Guy Môquet - Jean Moulin,30
Place Violet,30
Pierre Larousse - Raymond Losserand,30
Rome - Provence,30
Saint-Cloud - Hippodrome,30
Carnot - Général Lanrezac,30
Charles Frérot - Albert Guilpin,30
Quai Marcel Boyer - Victor Hugo,29
Invalides - Duroc,29
Jeanne Hornet - Girardot,29
André Maurois - Joseph et Marie Hackin,29
Colonel Pierre Avia,29
Vignerons - Minimes,29
Bridaine - Lamandé,29
François 1er - Montaigne,29
Larmeroux - Baudelaire,29
Solitaires - Place des Fêtes,29
Parc Georges Brassens - Brancion,29
Lallier - Trudaine,29
Vieille du Temple - Francs Bourgeois,29
Chemin de Bretagne,29
Uzès - Montmartre,29
Gergovie - Vercingétorix,29
George Sand - Jean de La Fontaine,29
Arsène Houssaye - Champs-Elysées,29
Saint-Michel - Luxembourg,29
Square Louis XVI,29
Résistance - Hoche,29
Place Georges Guillaumin,29
Anatole France - President Roosevelt,29
Beaujon - Wagram,29
Verdier - République,29
Cours de l'Ile Seguin - Parc Billancourt,29
Blancs-Manteaux - Archives,29
Fille du Calvaire - Turenne,29
Pyrénées - Charles Renouvier,29
Gambetta - Père Lachaise,29
Cevennes - Bergers,29
Crozatier - Faubourg Saint-Antoine,29
Riquet - Marx Dormoy,29
Gare du Nord - Dunkerque,29
Tertres - Fontaine,28
Place du Général de Gaulle,28
Bosquet - Saint-Dominique,28
Etienne Marcel - Montorgueil,28
Verdun - Carnot,28
Wilson - Métallurgie,28
Aqueduc - Villette,28
Poissonniers - Nord,28
Charles de Gaulle - Louis-Philippe,28
Petites Ecuries - Faubourg Saint-Denis,28
Chaussée d'Antin - Haussmann,28
Pré Saint-Gervais - Lilas,28
Wurtz - Tolbiac,28
Raspail - Albert Schweitzer,28
Manufacture Nationale,28
Alfred Roll - Berthier,28
Esplanade du Foncet - Camille Desmoulins,28
Gare de Reuilly - Picpus,28
Jean Jaurès - Paul Lafargue,28
Blanqui - Docteur Bauer,28
Raspail Barbès,28
Censier - Jardin des Plantes,28
Stalingrad - Germaine Tailleferre,28
Jacques Callot - Mazarine,28
Melun - Jean Jaurès,28
Balzac - Olympes de Gouges,28
Lally-Tollendal - Armand Carrel,28
Président Wilson - Baudin,28
